Match_ID,Team,Opponent,Bowler_Name,Overs,Maidens,Runs_Conceded,Wickets,Economy,Dots
1860,India,Bangladesh,Hardik Pandya,3.0,0,28,2,9.33,8
1859,Netherlands,Zimbabwe,Fred Klaassen,4.0,0,17,1,4.25,17
1859,Netherlands,Zimbabwe,Paul van Meekeren,4.0,0,29,3,7.25,13
1859,Netherlands,Zimbabwe,Brandon Glover,4.0,1,29,2,7.25,15
1859,Netherlands,Zimbabwe,Logan van Beek,2.2,0,17,2,7.28,8
1859,Netherlands,Zimbabwe,Bas de Leede,4.0,0,14,2,3.5,11
1859,Netherlands,Zimbabwe,Roelof van der Merwe,1.0,0,8,0,8.0,2
1859,Zimbabwe,Netherlands,Tendai Chatara,4.0,0,22,0,5.5,14
1859,Zimbabwe,Netherlands,Richard Ngarava,4.0,0,18,2,4.5,15
1859,Zimbabwe,Netherlands,Blessing Muzarabani,4.0,0,23,2,5.75,14
1859,Zimbabwe,Netherlands,Sean Williams,3.0,0,21,0,7.0,8
1859,Zimbabwe,Netherlands,Sikandar Raza,1.0,0,6,0,6.0,0
1859,Zimbabwe,Netherlands,Luke Jongwe,2.0,0,25,1,12.5,3
1858,New Zealand,England,Trent Boult,4.0,0,40,0,10.0,8
1858,New Zealand,England,Tim Southee,4.0,0,43,1,10.75,9
1858,New Zealand,England,Mitchell Santner,4.0,0,25,1,6.25,8
1858,New Zealand,England,Lockie Ferguson,4.0,0,45,2,11.25,6
1858,New Zealand,England,Ish Sodhi,4.0,0,23,1,5.75,10
1858,England,New Zealand,Moeen Ali,1.0,0,4,0,4.0,3
1858,England,New Zealand,Chris Woakes,4.0,0,33,2,8.25,9
1858,England,New Zealand,Adil Rashid,4.0,0,33,0,8.25,6
1858,England,New Zealand,Sam Curran,4.0,0,26,2,6.5,9
1858,England,New Zealand,Mark Wood,3.0,0,25,1,8.33,8
1858,England,New Zealand,Liam Livingstone,3.0,0,26,0,8.66,4
1858,England,New Zealand,Ben Stokes,1.0,0,10,1,10.0,2
1856,Sri Lanka,Afghanistan,Kasun Rajitha,4.0,0,31,1,7.75,11
1856,Sri Lanka,Afghanistan,Pramod Madushan,3.0,0,24,0,8.0,7
1856,Sri Lanka,Afghanistan,Lahiru Kumara,4.0,0,30,2,7.5,12
1856,Sri Lanka,Afghanistan,Maheesh Theekshana,4.0,0,33,0,8.25,5
1856,Sri Lanka,Afghanistan,Wanindu Hasaranga,4.0,0,13,3,3.25,12
1856,Sri Lanka,Afghanistan,Dhananjaya de Silva,1.0,0,9,1,9.0,1
1856,Afghanistan,Sri Lanka,Fazalhaq Farooqi,3.3,1,22,0,6.28,11
1856,Afghanistan,Sri Lanka,Mujeeb Ur Rahman,4.0,0,24,2,6.0,12
1856,Afghanistan,Sri Lanka,Fareed Ahmad,2.0,0,25,0,12.5,3
1856,Afghanistan,Sri Lanka,Rashid Khan,4.0,0,31,2,7.75,10
1856,Afghanistan,Sri Lanka,Azmatullah Omarzai,2.0,0,17,0,8.5,2
1856,Afghanistan,Sri Lanka,Mohammad Nabi,2.0,0,16,0,8.0,2
1856,Afghanistan,Sri Lanka,Gulbadin Naib,1.0,0,12,0,12.0,1
1855,Ireland,Australia,Josh Little,4.0,0,21,2,5.25,13
1855,Ireland,Australia,Mark Adair,4.0,0,59,0,14.75,6
